"codigo_ine","idep","nombre_dep","iprov","nombre_prov","imun","nombre_mun","capital","superficie_km2"
"010101","01","Chuquisaca","01","Oropeza","01","Sucre","Sucre",1671.1
"010102","01","Chuquisaca","01","Oropeza","02","Yotala","Yotala",432.2
"010103","01","Chuquisaca","01","Oropeza","03","Poroma","Poroma",1424.6
"010201","01","Chuquisaca","02","Azurduy","01","Azurduy","Villa Azurduy",1723.2
"010202","01","Chuquisaca","02","Azurduy","02","Tarvita","Villa Orías",1348.3
"010301","01","Chuquisaca","03","Zudáñez","01","Zudáñez","Villa Zudáñez",654
"010302","01","Chuquisaca","03","Zudáñez","02","Presto","Presto",1343.3
"010303","01","Chuquisaca","03","Zudáñez","03","Mojocoya","Villa de Mojocoya",1231.9
"010304","01","Chuquisaca","03","Zudáñez","04","Icla","Icla",797.3
"010401","01","Chuquisaca","04","Tomina","01","Padilla","Padilla",1658.4
"010402","01","Chuquisaca","04","Tomina","02","Tomina","Villa de Tomina",807.9
"010403","01","Chuquisaca","04","Tomina","03","Sopachuy","Villa de Sopachui",583.5
"010404","01","Chuquisaca","04","Tomina","04","Alcalá","Alcalá",304.1
"010405","01","Chuquisaca","04","Tomina","05","El Villar","El Villar",886.1
"010501","01","Chuquisaca","05","Hernando Siles","01","Monteagudo","Monteagudo",3366.8
"010502","01","Chuquisaca","05","Hernando Siles","02","Huacareta","San Pablo de Huacareta",2956.5
"010601","01","Chuquisaca","06","Yamparáez","01","Tarabuco","Tarabuco",1076.6
"010602","01","Chuquisaca","06","Yamparáez","02","Yamparáez","Yamparáez",639.2
"010701","01","Chuquisaca","07","Nor Cinti","01","Camargo","Camargo",2079.7
"010702","01","Chuquisaca","07","Nor Cinti","02","San Lucas","San Lucas",3877.2
"010703","01","Chuquisaca","07","Nor Cinti","03","Incahuasi","Incahuasi",1040.6
"010704","01","Chuquisaca","07","Nor Cinti","04","Villa Charcas","Villa Charcas",686.8
"010801","01","Chuquisaca","08","Belisario Boeto","01","Villa Serrano","Villa Serrano",1720.3
"010901","01","Chuquisaca","09","Sud Cinti","01","Villa Abecia","Villa Abecia",659.8
"010902","01","Chuquisaca","09","Sud Cinti","02","Culpina","Culpina",3888.7
"010903","01","Chuquisaca","09","Sud Cinti","03","Las Carreras","Las Carreras",905.4
"011001","01","Chuquisaca","10","Luis Calvo","01","Villa Vaca Guzmán","Villa Vaca Guzmán",3763.8
"011002","01","Chuquisaca","10","Luis Calvo","02","Huacaya (Autonomía Guaraní Chaqueño de Huacaya)","Villa de Huacaya",1277.2
"011003","01","Chuquisaca","10","Luis Calvo","03","Macharetí","Villa de Macharetí",7957.3
"020101","02","La Paz","01","Murillo","01","Nuestra Señora de La Paz","Nuestra Señora de La Paz",2026.9
"020102","02","La Paz","01","Murillo","02","Palca","Palca",730.6
"020103","02","La Paz","01","Murillo","03","Mecapaca","Mecapaca",519.8
"020104","02","La Paz","01","Murillo","04","Achocalla","Achocalla",176.9
"020105","02","La Paz","01","Murillo","05","El Alto","El Alto",345.3
"020201","02","La Paz","02","Omasuyos","01","Achacachi","Achacachi",741.1
"020202","02","La Paz","02","Omasuyos","02","Villa Ancoraimes","Villa Ancoraimes",332.1
"020203","02","La Paz","02","Omasuyos","03","Huarina","Huarina",180.7
"020204","02","La Paz","02","Omasuyos","04","Santiago de Huata","Santiago de Huata",92.8
"020205","02","La Paz","02","Omasuyos","05","Huatajata","Huatajata",19.4
"020206","02","La Paz","02","Omasuyos","06","Chua Cocani","Chua Cocani",80.6
"020301","02","La Paz","03","Pacajes","01","Corocoro","Corocoro",1093.8
"020302","02","La Paz","03","Pacajes","02","Caquiaviri","Caquiaviri",1537.3
"020303","02","La Paz","03","Pacajes","03","Calacoto","Calacoto",3876.6
"020304","02","La Paz","03","Pacajes","04","Comanche","Comanche",446.8
"020305","02","La Paz","03","Pacajes","05","Charaña","Charaña",2905.6
"020306","02","La Paz","03","Pacajes","06","Waldo Ballivián","Waldo Ballivian",107.9
"020307","02","La Paz","03","Pacajes","07","Nazacara de Pacajes","Nazacara de Pacajes",18.3
"020308","02","La Paz","03","Pacajes","08","Santiago de Callapa","Santiago de Callapa",1183.4
"020401","02","La Paz","04","Camacho","01","Puerto Acosta","Puerto Acosta",349.7
"020402","02","La Paz","04","Camacho","02","Mocomoco","Mocomoco",648.5
"020403","02","La Paz","04","Camacho","03","Puerto Mayor de Carabuco","Carabuco",382.5
"020404","02","La Paz","04","Camacho","04","Humanata","Humanata",287.4
"020405","02","La Paz","04","Camacho","05","Escoma","Escoma",120.3
"020501","02","La Paz","05","Muñecas","01","Chuma","Chuma",613.7
"020502","02","La Paz","05","Muñecas","02","Ayata","Ayata",743.3
"020503","02","La Paz","05","Muñecas","03","Aucapata","Aucapata",232.8
"020601","02","La Paz","06","Larecaja","01","Sorata","Sorata",1888.1
"020602","02","La Paz","06","Larecaja","02","Guanay","Guanay",3585.8
"020603","02","La Paz","06","Larecaja","03","Tacacoma","Tacacoma",794
"020604","02","La Paz","06","Larecaja","04","Quiabaya","Quiabaya",117.6
"020605","02","La Paz","06","Larecaja","05","Combaya","Combaya",89.9
"020606","02","La Paz","06","Larecaja","06","Tipuani","Tipuani",246.5
"020607","02","La Paz","06","Larecaja","07","Mapiri","Mapiri",1489.4
"020608","02","La Paz","06","Larecaja","08","Teoponte","Teoponte",1368.9
"020701","02","La Paz","07","Franz Tamayo","01","Apolo","Apolo",14142.7
"020702","02","La Paz","07","Franz Tamayo","02","Pelechuco","Pelechuco",2433
"020801","02","La Paz","08","Ingavi","01","Viacha","Viacha",842.6
"020802","02","La Paz","08","Ingavi","02","Puerto Mayor de Guaqui","Guaqui",189.6
"020803","02","La Paz","08","Ingavi","03","Tiahuanacu","Tiahuanacu",349.9
"020804","02","La Paz","08","Ingavi","04","Desaguadero","Desaguadero",103.2
"020805","02","La Paz","08","Ingavi","05","La (Marka) San Andrés de Machaca","La (Marka) San Andrés de Machaca",1523.7
"020806","02","La Paz","08","Ingavi","06","Jesús de Machaka","Jesús de Machaka",985
"020807","02","La Paz","08","Ingavi","07","Taraco","Taraco",113.8
"020901","02","La Paz","09","Loayza","01","Luribay","Luribay",447.6
"020902","02","La Paz","09","Loayza","02","Sapahaqui","Sapahaqui",809.7
"020903","02","La Paz","09","Loayza","03","Yaco","Yaco",591.1
"020904","02","La Paz","09","Loayza","04","Malla","Malla",348
"020905","02","La Paz","09","Loayza","05","Cairoma","Cairoma",680.4
"021001","02","La Paz","10","Inquisivi","01","Inquisivi","Inquisivi",3264.3
"021002","02","La Paz","10","Inquisivi","02","Quime","Quime",989.7
"021003","02","La Paz","10","Inquisivi","03","Cajuata","Cajuata",706.7
"021004","02","La Paz","10","Inquisivi","04","Colquiri","Colquiri",1004.1
"021005","02","La Paz","10","Inquisivi","05","Ichoca","Ichoca",833.6
"021006","02","La Paz","10","Inquisivi","06","Villa Libertad Licoma","Villa Libertad Licoma",195.5
"021101","02","La Paz","11","Sur Yungas","01","Chulumani","Villa de la Libertad",299.6
"021102","02","La Paz","11","Sur Yungas","02","Irupana","Villa de Lanza",1348.7
"021103","02","La Paz","11","Sur Yungas","03","Yanacachi","Yanacachi",576
"021104","02","La Paz","11","Sur Yungas","04","Palos Blancos","Palos Blancos",3708.2
"021105","02","La Paz","11","Sur Yungas","05","La Asunta","La Asunta",2810.8
"021201","02","La Paz","12","Los Andes","01","Pucarani","Pucarani",1247.7
"021202","02","La Paz","12","Los Andes","02","Laja","Laja",685.4
